"","Temperature","Humidity","PM2.5","PM10","NO2","SO2","CO","Proximity_to_Industrial_Areas","Population_Density","Air.Quality"
"3831",24.6,53,3.1,6,24.6,5.2,0.95,11.1,500,"Good"
"3832",33.1,91.3,8,24.3,32,23.6,2.28,4.2,587,"Poor"
"3834",28.8,77.2,27.8,42.3,27.5,4.8,1.6,10.8,538,"Moderate"
"3835",47.8,74.1,38.5,62.2,41.1,11.4,1.85,6.8,549,"Poor"
"3836",26.3,64.8,14.9,22,26.2,7.4,1.02,12.5,237,"Good"
"3837",32.1,84.3,4.2,14.3,37.1,11.6,1.45,3.3,737,"Poor"
"3838",31.1,80.7,14.2,24.3,15,11.9,1.46,6.3,481,"Moderate"
"3840",31.1,78.4,51.7,67.9,35.6,17.5,2.24,5.6,488,"Poor"
"3841",37.5,84.2,17.4,35.5,31.6,2.9,3,7,524,"Poor"
"3844",33.4,96.6,14.1,25.5,26.8,15.8,2.39,5.5,623,"Poor"
"3845",28.4,80.8,11.4,20.3,36,9.7,1.19,5.8,530,"Moderate"
"3846",37,96.6,14.8,25.2,40.6,14.7,2.11,10.2,673,"Poor"
"3848",26.2,60.3,13.4,17.3,26.7,7,1.23,10.9,308,"Good"
"3849",29.4,54.3,9.2,15.5,29.3,8.6,1.49,10.6,405,"Moderate"
"3850",31.5,67.4,36,49,48.1,14.3,2.34,4.2,799,"Poor"
"3852",33.6,46.7,11.1,22.2,23.7,3.8,1.16,10,592,"Moderate"
"3854",22.7,58.8,16,21.7,14.8,4.5,0.95,10,324,"Good"
"3860",24,55.5,6.4,8.6,10.8,4.8,0.89,11.5,456,"Good"
"3862",27.9,60.9,1.9,6.7,14.5,5.6,1,11,383,"Good"
"3863",30.5,70.7,23.4,30.5,32.8,10.8,1.49,7.5,466,"Moderate"
"3864",41.5,106.1,2.5,16.1,41.6,22.9,2.33,9.7,629,"Hazardous"
"3865",31.7,53.6,24.2,36.1,23.3,6.4,1.36,5.4,566,"Moderate"
"3866",40.9,69.5,31.1,53.4,39.3,14,1.69,5.5,465,"Poor"
"3867",23.3,49,29.4,36.6,12.6,6.6,0.82,10.7,362,"Good"
"3868",20.7,71.2,0.5,9.4,11.4,4.4,1.09,10.9,207,"Good"
"3869",21.9,58.3,2.7,5.6,20.6,7.3,0.9,11.1,493,"Good"
"3870",51.5,92.6,3.6,25.7,49.5,22.2,2.48,4,737,"Hazardous"
"3871",24.3,77.2,3.2,8.5,15.1,5.1,1.22,10.1,385,"Good"
"3872",34.8,68.1,64.3,74.2,39.9,11.2,2.26,4,537,"Poor"
"3873",29.2,78.4,17.6,24.9,21.5,1.9,0.97,10.1,285,"Good"
"3874",25.7,51.6,17.3,20.6,16.9,7.5,1.07,10.7,454,"Good"
"3875",39.3,57.3,39.6,59.1,22,17.7,1.64,4.7,573,"Poor"
"3876",32.5,97.5,77,99.1,54.5,26.1,1.82,2.7,555,"Hazardous"
"3877",29.6,72.1,2,6.6,17.4,6.4,1.06,10.7,353,"Good"
"3878",31.9,72,68.4,87,37.9,7.3,2.24,4,679,"Poor"
"3879",26.8,50,1.5,7.4,21,8.1,1.02,10.4,606,"Good"
"3880",26,79.9,22.6,28.3,22.7,5.9,1.37,12,323,"Moderate"
"3881",30.1,83.5,10.2,15.6,23.6,18.2,1.73,14,676,"Moderate"
"3882",34,75.2,46,57.2,45.5,15.4,3.34,6.3,601,"Hazardous"
"3883",38.5,55.8,12.3,32.1,24.8,9.4,1.75,5.6,312,"Moderate"
"3884",45.5,84.9,7.2,17.4,39.1,17,2.09,3.4,861,"Hazardous"
"3885",31,77.2,42.9,56.6,29.3,9.2,1.4,6.7,611,"Moderate"
"3886",25,77.4,1.4,5.8,14.7,6.3,0.84,11,288,"Good"
"3887",26.9,60.6,1.2,6.4,20.5,7.6,0.92,11.6,267,"Good"
"3888",24.9,57.7,0.9,4.9,18,6.1,1.25,11.9,302,"Good"
"3889",36.1,55.2,5.6,17.2,23,9.5,1.7,5.7,317,"Moderate"
"3891",36.4,78,50.8,57.2,22.6,8.5,1.55,5.3,583,"Moderate"
"3892",26.8,41.9,8.4,13.8,26.3,6.2,1.06,14.4,494,"Good"
"3893",29.8,84.3,0.6,14,34.6,14.2,1.61,5.4,506,"Moderate"
"3894",24.7,49.4,8.4,14.8,15.7,6.5,1.2,10.2,194,"Good"
"3895",30.3,70.8,4.2,9.9,21.9,5.5,1.16,11.2,401,"Good"
"3896",27.2,88.1,12.8,31.5,23.5,14,1.94,3.4,576,"Poor"
"3897",23.9,79.6,28.7,32.2,18.7,3,1.1,12,454,"Good"
"3898",40,88.6,4.5,25.7,31,20.5,2.11,4.6,709,"Poor"
"3900",16.5,66.4,11.7,15.8,11.7,3.6,0.97,13.5,548,"Good"
"3901",29.5,84.6,40.6,51.7,25.4,11.5,1.75,9.5,418,"Moderate"
"3902",19.6,47.2,0.9,7.5,23.2,3.8,1.02,10.5,380,"Good"
"3904",29.2,62.5,4.2,7,26.5,13.5,1.07,6.1,630,"Moderate"
"3905",20,79.9,2,7.3,15.2,5.1,1.06,10.5,244,"Good"
"3906",44,100.4,55,76.2,23.8,18.6,2.12,4.3,535,"Poor"
"3908",34.9,84.1,1.5,20.1,22.5,2.5,2.15,3.6,646,"Poor"
"3909",25.8,56.9,2.7,10.1,17.2,2.6,0.84,11.1,569,"Good"
"3910",26.2,56.5,20.4,28.2,14.2,-0.4,0.88,12.4,427,"Good"
"3912",26.1,81.9,9.5,19.1,36.1,14.8,1.62,5.9,455,"Moderate"
"3913",41.1,70,30.3,40.1,36.4,7.6,2.51,5,647,"Poor"
"3914",30.5,55.3,6.3,18.2,21.9,15.1,1.45,5.2,391,"Moderate"
"3915",32.7,60.5,13.5,27.2,22.9,9.3,1.45,8.7,322,"Moderate"
"3916",27.8,72.8,2,8.5,27.8,4,1.01,10.4,253,"Good"
"3917",21.9,42.8,3.3,5.8,19.3,3.9,1.12,13,546,"Good"
"3918",27.2,66.4,13,16.3,23.5,4.9,1.08,14,428,"Good"
"3919",31,80.4,3.3,13.9,29.6,7.1,1.31,7.1,353,"Moderate"
"3920",27.4,73.6,51.6,64,35.3,14.7,1.87,8.7,769,"Poor"
"3921",26.7,68.4,2.8,10.4,24.4,2.3,1.12,11.6,545,"Good"
"3922",23.4,77.4,25.1,28.6,26.1,5.7,1.09,12,201,"Good"
"3923",25.1,45.2,5.6,10.3,14.7,3.1,1.01,12,566,"Good"
"3924",31.3,70.5,13.7,23.4,28.6,10.6,1.69,5.9,647,"Moderate"
"3925",39,80.7,1.3,21.3,24.2,10.8,1.65,3.8,448,"Poor"
"3927",35.9,49.6,8.2,26,20,8.4,1.57,5,361,"Moderate"
"3928",39.4,57,11.2,26.3,28.7,20.4,2.01,3.8,468,"Poor"
"3929",27.5,49.8,1.3,9.3,24.8,8.5,1.11,10.7,589,"Good"
"3930",35.6,64.8,16.1,30.3,32.2,1.1,1.65,5.9,640,"Moderate"
"3931",25,57.3,0.8,6.7,27.1,3.6,1.12,10.7,267,"Good"
"3932",36.4,72.1,37.2,45.7,29.1,9.6,1.45,9.8,312,"Moderate"
"3933",28,80.7,62.2,68.9,29,15.3,1.61,5.1,336,"Moderate"
"3934",30.1,49,7.7,14.5,20.2,7.6,0.98,11,465,"Good"
"3935",28.2,60.6,14.5,19.4,23,6,1.16,14.3,360,"Good"
"3936",26.3,67,6.1,12.5,16.3,6,1.04,18,559,"Good"
"3938",23.9,39.6,1.3,5.7,23.2,6.4,0.93,11.2,569,"Good"
"3939",24.6,48.9,6.5,14.6,17,4.6,0.96,12.1,264,"Good"
"3940",22.7,53.9,8.1,12.7,23.5,7.1,1.2,10.3,487,"Good"
"3941",34.2,76.9,111,129.2,34.7,21.5,2.17,3.9,484,"Poor"
"3943",20.2,76.4,32.9,38.5,21.7,5.4,1,12.4,501,"Good"
"3944",30.6,65.6,28.7,38.2,21.5,14.8,1.48,8.3,383,"Moderate"
"3945",28.2,65.2,30,40.9,15.7,9.2,1.5,5.4,541,"Moderate"
"3946",28.4,66.1,35.2,50,24.8,7.8,1.2,6.5,311,"Moderate"
"3947",32.6,78.7,7.1,20.4,30.9,6.4,1.52,5.7,352,"Moderate"
"3948",43.8,106.8,4.6,19.2,32.8,21.2,2.34,4.1,425,"Poor"
"3950",18.1,61.3,7.8,12.3,12.9,7.3,1.04,10.1,218,"Good"
"3953",42.2,76.5,39,53,31.2,13.5,2.3,5.2,458,"Poor"
"3954",34.6,48.6,4.5,15.6,26.6,13,1.42,12,410,"Moderate"
"3955",25.8,51.5,9.2,12.9,17.5,0.2,1.26,11.8,452,"Good"
"3956",35.7,83.1,8.1,20.2,24.9,9.4,1.4,7.2,564,"Moderate"
"3957",27.7,79.4,10.8,16.8,14,7.7,0.92,10.3,348,"Good"
"3958",21.4,60.3,17.6,22.3,15.8,5.7,0.98,11.6,284,"Good"
"3960",24.8,53.7,2.6,8.7,17.6,8.2,1.2,10.9,280,"Good"
"3961",22.6,75.5,55.8,63.3,30,7.7,1.33,5.9,361,"Moderate"
"3962",28.4,81.5,6.7,11.7,17.6,2.9,0.93,12.9,580,"Good"
"3963",28.3,76.6,10.3,17.8,37.4,5.2,1.38,7.1,540,"Moderate"
"3964",28.2,90.6,17.2,27.5,32.3,17.4,2.07,9.1,680,"Poor"
"3966",31,79.6,17.3,30.5,31.4,5.1,1.69,8.9,347,"Moderate"
"3967",27.1,93.4,37.3,64.1,29.7,14.8,3.28,2.5,701,"Hazardous"
"3968",25.7,82.4,44.6,54.5,21.2,5.8,1.44,5.2,580,"Moderate"
"3969",30.6,80.3,4.5,13.8,25.9,4.9,1.32,5,333,"Moderate"
"3970",32.4,61.8,23,43.4,19.5,17,2.05,3.8,463,"Poor"
"3971",23.2,40.5,3,6.5,21.1,6.4,0.94,11.4,337,"Good"
"3972",35.1,47.6,23.8,31.7,26.6,14.5,1.35,6.9,565,"Moderate"
"3973",24.1,63,3.9,7.4,22.5,8,0.78,19.9,566,"Good"
"3974",36,65.6,7.3,21.8,24.2,13.9,1.99,5.9,393,"Poor"
"3976",24.1,49.2,11.7,17.1,22.3,6.4,0.98,13.6,334,"Good"
"3978",34.9,81.1,38.2,52.3,20.9,7.5,1.68,5.5,672,"Moderate"
"3979",27.2,78.3,43.1,43.8,15.1,2.4,0.97,12.3,397,"Good"
"3981",35,82.9,27.4,32.6,25.5,7.6,1.5,7.2,344,"Moderate"
"3982",26,54.7,7.7,16.9,17.2,6.9,1.05,17.2,333,"Good"
"3983",23,52,14.1,15.5,20.1,4.9,0.76,11.9,497,"Good"
"3985",21.4,39.3,19.4,26.4,21.7,4.7,1.1,12.2,428,"Good"
"3986",19.7,75.2,1.2,5.2,12.8,5.4,0.93,10.7,527,"Good"
"3987",44.8,101.8,146.3,164.9,38.8,10.8,2.36,2.8,586,"Hazardous"
"3989",34.1,76.6,6.5,21.3,30.6,12.5,2.12,7.3,421,"Poor"
"3993",27.8,64.8,7.9,13.3,25.1,4.7,0.99,10.4,223,"Good"
"3994",22.5,55.4,4.7,5.6,20.4,4.6,0.93,14.8,371,"Good"
"3996",25.3,60.8,10.2,15.7,16.2,5,1.18,15.3,406,"Good"
"3997",35.4,84.1,45.6,62.3,31.4,5.6,1.26,7,638,"Moderate"
"3998",26.4,63.7,7.3,11.2,30.1,11.6,1.13,8.7,507,"Moderate"
"4002",26.2,64.8,3.2,11.1,24.5,8.6,0.89,10.3,427,"Good"
"4003",23.6,66.3,10.2,20.6,18,8.4,1.64,5.5,581,"Moderate"
"4004",30.8,47.2,28,33.6,28.4,14.6,1.27,5.3,316,"Moderate"
"4005",23.2,71.3,8.2,13.1,25.7,8.1,1.04,10.5,218,"Good"
"4006",28.9,75,17.8,26.6,20,17.2,1.53,6.9,346,"Moderate"
"4008",26.1,63.1,15.8,19.1,22.7,4.6,0.89,10.5,249,"Good"
"4010",27.7,70,28.1,31.1,23,7.5,0.98,10,538,"Good"
"4011",29.5,58.6,6.1,17.5,32.6,17,1.19,5,311,"Moderate"
"4012",30.7,77.7,36.5,46,24.2,9.1,1.5,6.5,345,"Moderate"
"4013",23.7,50,13.4,22,21.2,16.8,2.07,8.1,588,"Moderate"
"4017",45.4,104,25,22.8,36.7,24,2.5,10.5,467,"Poor"
"4020",40.1,88.5,1.3,13.3,35.7,18.2,2.2,6.6,453,"Poor"
"4021",32.9,66,7.6,11.9,22.8,11.4,1.67,6.9,686,"Moderate"
"4022",29.6,75.1,6.1,14,25.6,9.5,1.52,8.2,649,"Moderate"
"4024",41.9,75.7,0.7,19.2,43.8,19.6,2.7,2.8,771,"Hazardous"
"4025",34.4,95.4,76,95.5,20.8,13,2.78,6.2,657,"Hazardous"
"4026",19.9,46.2,15.4,22.1,17.9,7.8,1.07,16.9,568,"Good"
"4027",27.6,57.9,0.3,8.8,12.9,5.1,1.08,10.2,265,"Good"
"4028",24.6,76.2,19.7,25,20.5,9.2,0.95,10.3,400,"Good"
"4031",22.3,53.9,28.5,47.9,30.2,12.6,1.44,5.9,614,"Moderate"
"4032",38.7,71.8,2.1,20.3,54.4,9.9,2.99,8.6,625,"Hazardous"
"4033",30.8,92.2,50.1,67.5,25.3,23.5,2.41,7,573,"Poor"
"4034",25.4,65.3,30.5,34.7,21.9,5.2,1.41,10.8,527,"Moderate"
"4035",29.2,70.2,9.6,14.3,21.9,3.8,1.03,11.1,262,"Good"
"4036",25.2,60,6.8,12,25.3,3.8,1.02,11.2,509,"Good"
"4038",26,45.1,24.7,28.7,21.4,1.9,1.12,11.9,397,"Good"
"4039",28.4,51.8,8.3,16.6,20.4,2.4,0.98,11,549,"Good"
"4040",34.5,74.3,6.3,22,33.5,18,1.91,4.7,568,"Poor"
"4041",24.9,61.5,11.5,14.6,25.8,4.9,1,10.9,336,"Good"
"4043",22.5,65.5,0.8,8.2,13.3,4.7,1.07,10.3,526,"Good"
"4047",27.3,53.4,6.7,13.6,24,6.7,0.99,10.6,208,"Good"
"4048",22.5,59.8,0.7,12.6,30.5,5.2,1.37,8.8,718,"Moderate"
"4049",27.3,62.8,2.4,5.1,14.2,2.7,1.02,10.6,538,"Good"
"4050",25.2,75.4,7.6,14.2,30.4,2.9,1.46,6,536,"Moderate"
"4051",32.8,99.6,2.2,8,33.6,21.5,1.92,5.5,664,"Poor"
"4053",34.8,88.8,12.6,30.8,25.3,8.4,1.49,8.7,431,"Moderate"
"4054",29.8,90.6,5,34,35.8,9.8,1.78,10.6,492,"Poor"
"4057",26.7,70.2,51.1,56.7,32.8,5.4,1.42,6.3,592,"Moderate"
"4058",34,73.8,7,27.4,20.7,26.9,2.03,3.4,749,"Poor"
"4059",36.3,57.5,15,34.4,36.2,17.1,2.36,3.7,446,"Poor"
"4060",28.9,70.9,33,38.7,13.7,4.1,0.89,11,486,"Good"
"4062",36.4,99.6,56.6,65.3,30.6,21.2,2.9,4.4,699,"Hazardous"
"4063",34.4,65,21.5,34.5,24.3,10.3,1.57,8.6,583,"Moderate"
"4064",24.1,55.9,32.3,39.5,14.8,2.7,1.13,17.4,567,"Good"
"4066",23.8,77.4,5.1,10.1,13,7.9,0.84,10.1,315,"Good"
"4067",22.4,66,24.6,32.1,20.6,6.2,0.8,11.2,257,"Good"
"4068",26.1,62.1,18.2,26.6,19.8,8,1.88,5.1,629,"Moderate"
"4069",21.9,49.8,11.2,16.3,24.9,8.5,1.12,12.6,507,"Good"
"4070",27.8,42,20.7,24.5,18.2,2.9,0.89,13.2,253,"Good"
"4072",23.8,62.8,27,40.5,29.6,3.6,1.74,6.5,417,"Moderate"
"4073",39.1,73.5,69.8,82.4,33.6,19.4,1.88,3.6,557,"Poor"
"4074",28.3,72.7,4.7,8.4,13.2,5.8,0.94,10.5,246,"Good"
"4075",26.2,79.1,28.3,31.9,21.7,7.6,0.93,11.1,230,"Good"
"4076",24.2,41.9,14,18.5,24.5,6.8,1.01,10.4,361,"Good"
"4077",29.3,80.3,99.6,112.3,22.8,12.5,1.46,6.6,486,"Moderate"
"4078",47,95.3,3,23.4,36.3,24.4,2.4,3.4,582,"Hazardous"
"4079",34.9,57,10.2,23.2,21,5.3,1.59,8.1,612,"Moderate"
"4080",26.4,75.1,3.5,8.5,25.1,2.1,0.96,13.4,543,"Good"
"4081",22.5,58.3,25.8,32.3,26.9,3.3,0.97,10.3,501,"Good"
"4082",24,62.2,4.4,5.9,28.8,7.6,1.07,12.3,528,"Good"
"4083",18.6,66.2,6.2,11.5,15.9,4.7,1.13,12.1,448,"Good"
"4086",25,68.8,0.4,5.6,14.1,5.1,0.94,10.4,595,"Good"
"4087",25.1,48.3,46.2,56.6,17.7,6.5,1.8,7.3,353,"Moderate"
"4088",32.6,83.8,5.5,13,30.8,12.2,1.73,7.2,363,"Moderate"
"4091",36.1,69.1,6.8,16.2,18.7,5.9,1.15,5,630,"Moderate"
"4092",25.2,39.1,8.8,19.7,23,6.7,1.1,15,249,"Good"
"4094",23.7,62.5,1.1,7.4,15.1,5.7,1.09,14.8,258,"Good"
"4096",21.1,59.4,28,37.8,33.8,11.5,1.32,5.4,496,"Moderate"
"4097",29.8,55.1,15.4,27,28.8,20.8,1.69,6.5,602,"Poor"
"4099",36.3,83.6,43.6,55,27.9,10,1.17,7.2,512,"Moderate"
"4101",26.3,50.3,2.4,8.4,16.8,2.9,0.98,11.1,603,"Good"
"4102",25.3,45.7,12.5,27.4,28.8,9,1.37,5.4,525,"Moderate"
"4103",23.6,67.9,13.6,31.3,32.5,12.4,1.48,6.2,309,"Moderate"
"4107",28.1,62.6,19.4,29.4,16.2,12.3,1.77,7.1,676,"Moderate"
"4108",32.9,79.1,1.5,6.7,30.9,20.2,1.77,5.5,344,"Moderate"
"4110",23.8,79.7,12.7,27.5,30.4,9.9,1.85,3.6,568,"Poor"
"4111",47.4,82.8,14.5,33.5,32.3,18.9,1.84,5.1,600,"Poor"
"4113",26.7,48.8,20.7,26.9,11.6,5.3,0.97,10.6,385,"Good"
"4115",22,50.1,4.9,10,23.8,2.4,1.05,12.8,493,"Good"
"4116",29.4,52.1,7.2,18.1,19.6,2.5,1.62,8.6,613,"Moderate"
"4117",30.8,66.5,105.7,117.8,39.4,36.5,2.64,6.7,573,"Hazardous"
"4118",29.8,76,16.3,27.6,25.8,20.8,1.29,8.9,510,"Moderate"
"4119",29.9,67.5,1.6,8.5,30,12.8,1.45,5.1,615,"Moderate"
"4121",31.5,89.3,5.7,16.1,19.6,2.9,1.59,7.5,424,"Moderate"
"4122",26.3,73.3,17.7,23.6,35.2,14.1,1.77,6.3,482,"Moderate"
"4123",27.4,47.7,10.9,12.6,23.7,4.7,1.08,11.3,494,"Good"
"4124",17.9,70.1,1.2,8.3,23.9,6.3,1.18,13.8,487,"Good"
"4125",43.7,80.1,45.4,49.7,27.4,17.9,2.1,8.7,561,"Poor"
"4126",29,61.4,11,17.4,36.6,10.8,1.52,10.7,326,"Moderate"
"4127",19.5,49.8,21.5,25.5,23.9,6.5,1.07,12,503,"Good"
"4128",27.6,67,1.5,18.1,28.8,10.5,1.38,5.8,406,"Moderate"
"4129",28.5,81.2,4,16.4,22.1,11.3,1.52,5.7,391,"Moderate"
"4130",41.6,86.7,0.3,13.9,31.3,17.5,1.96,3.7,773,"Poor"
"4132",24.4,63.5,3,6.7,17.4,5,0.96,15.5,223,"Good"
"4133",33.4,44.1,13.2,16.1,16.5,11.6,1.28,6,643,"Moderate"
"4134",35.3,55.2,3.9,8.9,34.3,7.4,1.72,5.7,606,"Moderate"
"4136",31.6,68.2,3.4,14.1,20.2,8.8,1.56,5.2,423,"Moderate"
"4138",23.6,67.8,3.9,5.1,23.3,5,1.01,10.4,461,"Good"
"4139",41.1,103.3,40.8,53.1,38.5,12.6,1.61,7.4,602,"Poor"
"4140",27.3,45.7,3,8.6,10.5,7.1,0.96,10.8,426,"Good"
"4141",24.5,64.6,10.4,15.2,27.3,8,1.09,11.1,601,"Good"
"4142",20.7,68.5,3.1,5.5,9.2,9.8,0.87,10.3,333,"Good"
"4143",17.2,65.1,7.8,11.3,24.1,3.6,0.94,11.8,566,"Good"
"4145",40.8,98.7,100.8,114.1,48.7,8.7,2.09,4.4,395,"Poor"
"4146",34.7,74.8,6.6,19.6,26.4,12.7,1.6,8.5,304,"Moderate"
"4148",23.6,60.4,57,61.1,14.3,6.8,1.06,14.4,345,"Good"
"4149",31.7,106.5,14.7,21.2,33,18,1.98,4.1,661,"Poor"
"4150",31.3,89.6,1.7,17,25.1,17.2,2.18,4.2,832,"Poor"
"4151",26.1,63.3,11.1,13.7,23.7,4.5,0.89,14.7,450,"Good"
"4152",33.1,77.3,20.9,31.9,42.9,11.7,2.11,4.1,672,"Poor"
"4153",31,55.7,3.8,5.4,17.5,2.9,1.16,11.8,332,"Good"
"4154",30.8,81,11.7,27,21.7,6,1.73,9.4,443,"Moderate"
"4155",31.4,58.6,4.2,10.7,22.2,20.4,1.81,6.6,632,"Poor"
"4156",34.7,75.4,4.1,14.9,30.3,9.3,1.12,5.6,563,"Moderate"
"4157",25.3,73.3,21.1,21,15.4,8.5,1.14,10.4,498,"Good"
"4158",28.6,54.9,8.3,14.9,24.1,5,0.96,10.7,521,"Good"
"4159",26.9,73.1,4.4,9.2,21.4,5.7,0.88,11.9,523,"Good"
"4160",33.7,81.3,3.8,16.9,26,8.5,1.31,8.7,676,"Moderate"
"4161",22.9,57.9,2.7,8.4,22.8,2.9,1.03,12.8,521,"Good"
"4162",33.5,76.3,1,25.2,17.4,19,2.47,3.4,666,"Poor"
"4164",35.3,86.1,14.4,37.9,27.8,17.2,1.91,5.5,568,"Poor"
"4165",37.3,91.6,28.9,30.2,34.7,8.9,2.11,3.9,754,"Poor"
"4166",22.3,45.3,7,8.3,27.1,8.2,0.87,11.1,316,"Good"
"4167",27.7,72.5,22.7,39.6,23.6,8.4,1.43,5.1,529,"Moderate"
"4168",49.4,100.9,173.9,186.8,34,19.1,3.21,2.6,820,"Hazardous"
"4169",37.9,83.9,0.6,4.9,32.1,12.8,1.78,5.6,292,"Moderate"
"4171",27.1,70.1,29.2,32.2,16.8,7.1,1.08,10.4,289,"Good"
"4174",39,73.4,34.2,49.8,38.3,19.1,2.36,3.8,765,"Hazardous"
"4175",27,82.3,67.5,72.3,29.4,20.6,1.53,5.5,673,"Moderate"
"4176",26,88.4,14.3,31.1,35.1,16.7,2.26,3.9,745,"Poor"
"4178",28.5,58.9,1.7,9,10.1,0,1,11,536,"Good"
"4179",22.7,67.6,3.7,12.5,20.9,1.1,1.08,11.7,403,"Good"
"4180",23.3,77.5,10.3,17.6,20,6.1,1.21,10.7,530,"Good"
"4181",24.6,62.1,29.9,32.6,15.3,4.3,0.82,10.3,248,"Good"
"4185",32.1,53.9,7.5,16.9,29.2,18.1,1.59,5.3,328,"Moderate"
"4186",30.1,54.1,18.3,29.2,25.5,4.3,1.62,6.1,532,"Moderate"
"4187",21,67.4,1.7,7,19.1,6.6,1.07,13.4,603,"Good"
"4188",32.5,71.2,9.2,39.4,38.5,21.3,1.55,4.6,500,"Poor"
"4189",26.7,54.1,27.6,31.9,20.8,11.6,0.97,11.1,213,"Good"
"4191",25.5,49.5,16.6,20.5,24.3,2.8,0.94,10.4,227,"Good"
"4192",36.6,71,5,28.2,26.2,26.7,1.93,4.7,523,"Poor"
"4193",22.6,75.1,0.1,5.2,11.7,7.7,0.94,11.4,264,"Good"
"4194",26.7,54.8,5.8,11.3,15.8,4.5,1.25,11.8,565,"Good"
"4195",26.3,83.1,29.7,48,33,8.2,1.56,6,579,"Moderate"
"4197",26.1,76.9,9.1,16.2,27.8,5.2,1.24,10.3,349,"Good"
"4198",22.2,59.8,6.1,10.2,27,8.2,0.9,13.3,408,"Good"
"4199",27.1,64.2,1.6,5.6,15.3,4.7,0.8,11.5,581,"Good"
"4200",28.3,54.8,2.5,15.5,29.3,11.7,1.51,6.1,376,"Moderate"
"4201",27.4,74.7,25.9,31.1,29.5,17.3,2.28,5.8,501,"Poor"
"4202",29.3,90.5,23.9,52.4,36.4,26.3,2.02,8.9,498,"Poor"
"4203",22.8,59.5,14.2,18.9,24,5,0.79,15.9,528,"Good"
"4205",23.4,71.4,15.8,18.2,18,2.5,1.15,12.5,496,"Good"
"4206",35.5,111.3,38,50.8,38.4,11.3,2.09,3.2,497,"Hazardous"
"4207",40.5,75.6,0.8,10.8,20.8,11.4,1.69,5.6,645,"Moderate"
"4209",38.9,86,18.1,29,39.7,15.2,2.09,4.1,477,"Poor"
"4210",28.6,78.6,56.8,66.2,24.5,12.1,1.12,5.6,340,"Moderate"
"4211",38.8,83.1,25.9,30.6,32.1,17.5,2.58,4.9,638,"Poor"
"4212",29.9,94.3,1.6,13.8,31.5,13.9,2.39,3.4,522,"Poor"
"4214",33.7,54.1,5.2,15.5,34.5,6.8,1.5,5.4,367,"Moderate"
"4215",18.2,42.5,0.1,7.1,26.1,3.8,0.97,11.6,312,"Good"
"4216",27.3,68.4,0.7,7.8,25.4,5.1,1.03,10.7,506,"Good"
"4217",26.3,55.2,1.3,6.4,11.2,5.8,1.08,12.2,605,"Good"
"4218",38.6,97.4,63.3,78.4,29.4,18.3,1.6,5.1,554,"Poor"
"4219",33.3,39.9,14.7,20.8,19.7,8.4,1.06,11.2,339,"Good"
"4220",18.8,76.1,14.9,21.5,14.5,3.8,0.86,11.1,342,"Good"
"4221",32.9,69.3,13.3,18.8,32.4,8.6,1.6,5.2,463,"Moderate"
"4222",27.6,44.8,1.8,5.7,18.1,3.1,0.98,10,513,"Good"
"4224",30,62.2,53.7,66.4,25.5,8.1,1.26,6.2,670,"Moderate"
"4225",40.4,92.4,92,112.9,42.2,26.4,2.32,3.7,633,"Hazardous"
"4226",23.5,64.4,30.3,37.8,26.5,3.9,0.98,10.4,454,"Good"
"4227",33.8,86.8,12.5,20.9,26.7,6.6,1.66,5.2,685,"Moderate"
"4229",35.5,73.2,83.2,96.3,32.8,15.4,2.56,9.1,879,"Hazardous"
"4230",27.5,72.4,18.8,32.6,40.4,19.1,1.95,9.7,392,"Poor"
"4231",23.1,80.1,10.4,14.9,23.3,6,1,10.6,332,"Good"
"4232",25,50.9,4.9,11.4,23.4,2.8,1.1,13.7,196,"Good"
"4234",17.8,77.9,8.3,15.5,18.5,6.1,0.94,15.5,546,"Good"
"4235",19,75.8,2.6,9.5,18.5,1.1,0.97,12.7,534,"Good"
"4236",26.4,58.3,2.9,7.5,21.3,3.9,0.89,10.8,244,"Good"
"4238",26.6,60.6,2.5,6.5,26.9,8.2,1.07,10.6,318,"Good"
"4239",24.1,89.4,4.1,16.3,24.5,15.1,1.37,8.5,298,"Moderate"
"4240",30.8,81.7,23.3,36.4,26.5,21.6,1.49,5.8,546,"Moderate"
"4241",37.5,38.8,42.3,57.3,24.6,17.1,1.58,8.8,377,"Moderate"
"4242",20,74.9,8.2,15.3,21.1,6.2,1.04,11.7,242,"Good"
"4243",35.6,70.9,18.5,44,43.3,12.5,1.71,5,484,"Poor"
"4245",25.5,88.7,10.6,20,25.4,10.5,1.5,5.8,364,"Moderate"
"4248",30.7,62.7,6.5,10,11.7,4.6,0.92,10.6,265,"Good"
"4250",32.5,81.1,80.1,100.2,28.8,0.5,1.92,10.1,612,"Poor"
"4251",30.9,57.2,2,12.9,29.2,15.2,1.37,6.2,632,"Moderate"
"4252",32.4,76.9,6.5,12.3,25.3,10.5,1.66,5.1,397,"Moderate"
"4253",34.6,73,21.1,47.9,38.7,21.2,2.64,5.6,704,"Hazardous"
"4254",33.2,73.4,5.5,11.1,16.2,2.1,1.01,10.4,405,"Good"
"4255",25.9,71,22.1,21.8,14.4,2.3,0.93,12.5,314,"Good"
"4257",25,77.6,0.7,7.6,17.4,8,1.74,5.2,317,"Moderate"
"4258",25.1,74.2,8.1,10.7,20.2,5.8,1.01,13.6,341,"Good"
